id,x,y,z,Plan1,Plan2,Plan3
1,34.084,7.209,5.947999,P6-5,E2-1,E17-4
2,34.084,-7.209,5.947999,E18-6,E2-2,P6-4
3,-31.812,14.202,5.947999,E999-6,P9-2,E16-5
4,-31.812,-14.202,5.947999,E999-3,E8-5,P8-1
5,-23.337,25.866,5.947999,P9-1,E10-4,E16-6
6,-23.337,-25.866,5.947999,E8-4,P8-2,E19-1
7,17.389,30.188,5.947999,E17-1,E11-5,P13-5
8,17.389,-30.188,5.947999,E18-3,P51-5,E7-1
9,3.676,34.643,5.947999,E10-1,E11-6,P13-1
10,3.676,-34.643,5.947999,P51-4,E19-4,E7-2
11,-34.084,7.209,-5.948001,P41-1,E999-1,E16-4
12,-34.084,-7.209,-5.948001,E999-2,P41-2,E8-6
13,31.812,14.202,-5.948001,P61-4,E2-6,E17-3
14,31.812,-14.202,-5.948001,E18-5,E2-3,P7-1
15,23.337,25.866,-5.948001,P61-5,E11-4,E17-2
16,23.337,-25.866,-5.948001,E18-4,E7-6,P7-2
17,-17.389,30.188,-5.948001,E10-5,P11-4,E16-1
18,-17.389,-30.188,-5.948001,E8-3,P12-1,E19-2
19,-3.676,34.643,-5.948001,E10-6,E11-1,P11-5
20,-3.676,-34.643,-5.948001,E7-3,P12-5,E19-3
21,-29.469,6.993,18.213,E999-5,E9-1,P9-3
22,-29.469,-6.993,18.213,E999-4,P8-5,E9-2
23,27.951,11.664,18.213,P6-1,E1-2,E17-5
24,27.951,-11.664,18.213,E99999-5,E18-1,P6-3
25,19.731,22.979,18.213,E17-6,E1-1,P13-4
26,19.731,-22.979,18.213,E99999-4,E18-2,P51-1
27,-15.757,25.866,18.213,E9999-6,P9-5,E10-3
28,-15.757,-25.866,18.213,P8-3,E19-6,E99-2
29,-2.456,30.188,18.213,E9999-1,E10-2,P13-2
30,-2.456,-30.188,18.213,P51-3,E19-5,E99-3
31,29.469,6.993,-18.213,E3-1,E2-5,P61-3
32,29.469,-6.993,-18.213,E3-2,E2-4,P7-5
33,-27.951,11.664,-18.213,P41-5,E13-2,E16-3
34,-27.951,-11.664,-18.213,P41-3,E8-1,E14-2
35,-19.731,22.979,-18.213,E13-1,P11-3,E16-2
36,-19.731,-22.979,-18.213,E8-2,E14-3,P12-2
37,15.757,25.866,-18.213,E11-3,E12-2,P61-1
38,15.757,-25.866,-18.213,E7-5,P7-3,E15-4
39,2.456,30.188,-18.213,E11-2,E12-1,P11-1
40,2.456,-30.188,-18.213,E7-4,E15-3,P12-4
41,-19.547,14.202,25.793,E9999-3,E9-6,P9-4
42,-19.547,-14.202,25.793,P8-4,E9-3,E99-1
43,7.465999,22.979,25.793,E9999-6,E1-6,P13-3
44,7.465999,-22.979,25.793,E99999-3,P51-2,E99-4
45,24.161,0,25.793,E99999-6,E1-3,P6-2
46,19.547,14.202,-25.793,E3-6,P61-2,E12-3
47,19.547,-14.202,-25.793,E3-3,E15-5,P7-4
48,-7.466,22.979,-25.793,E12-6,E13-6,P11-2
49,-7.466,-22.979,-25.793,E14-4,E15-2,P12-3
50,-24.161,0,-25.793,P41-4,E13-3,E14-1
51,-9.922001,7.209,33.145,P1-2,E9999-4,E9-5
52,-9.922001,-7.209,33.145,P1-3,E9-4,E99-6
53,3.79,11.664,33.145,P1-1,E1-5,E9999-5
54,3.79,-11.664,33.145,P1-4,E99999-2,E99-5
55,12.265,0,33.145,P1-5,E1-4,E99999-1
56,9.922,7.209,-33.145,E3-5,E12-4,P10-1
57,9.922,-7.209,-33.145,E3-4,P10-2,E15-6
58,-3.79,11.664,-33.145,E12-5,E13-5,P10-5
59,-3.79,-11.664,-33.145,P10-3,E14-5,E15-1
60,-12.265,0,-33.145,E13-4,P10-4,E14-6
